[0.038s][info][class,load] jdk.internal.reflect.DelegatingConstructorAccessorImpl source: shared objects file
[0.038s][info][class,load] java.util.Queue source: shared objects file
[0.038s][info][class,load] java.util.Deque source: shared objects file
[0.038s][info][class,load] java.util.ArrayDeque source: shared objects file
[0.038s][info][class,load] jdk.internal.util.Preconditions source: shared objects file
[0.038s][info][class,load] jdk.internal.loader.BuiltinClassLoader$LoadedModule source: shared objects file
[0.038s][info][class,load] sun.net.www.protocol.jrt.Handler source: shared objects file
[0.038s][info][class,load] java.util.ImmutableCollections$SetN$SetNIterator source: shared objects file
[0.039s][info][class,load] java.lang.reflect.Array source: shared objects file
[0.039s][info][class,load] java.util.HashMap$KeySet source: shared objects file
[0.039s][info][class,load] java.util.HashMap$KeyIterator source: shared objects file
[0.039s][info][class,load] jdk.internal.module.DefaultRoots source: jrt:/java.base
[0.039s][info][class,load] java.util.Spliterators source: shared objects file
[0.039s][info][class,load] java.util.Spliterators$EmptySpliterator source: shared objects file
[0.039s][info][class,load] java.util.Spliterator source: shared objects file
[0.039s][info][class,load] java.util.Spliterators$EmptySpliterator$OfRef source: shared objects file
[0.039s][info][class,load] java.util.Spliterator$OfPrimitive source: shared objects file
[0.039s][info][class,load] java.util.Spliterator$OfInt source: shared objects file
[0.039s][info][class,load] java.util.Spliterators$EmptySpliterator$OfInt source: shared objects file
[0.039s][info][class,load] java.util.Spliterator$OfLong source: shared objects file
[0.039s][info][class,load] java.util.Spliterators$EmptySpliterator$OfLong source: shared objects file
[0.039s][info][class,load] java.util.Spliterator$OfDouble source: shared objects file
[0.039s][info][class,load] java.util.Spliterators$EmptySpliterator$OfDouble source: shared objects file
[0.040s][info][class,load] java.util.Spliterators$IteratorSpliterator source: jrt:/java.base
[0.040s][info][class,load] java.util.stream.StreamSupport source: shared objects file
[0.040s][info][class,load] java.util.stream.PipelineHelper source: shared objects file
[0.040s][info][class,load] java.util.stream.BaseStream source: shared objects file
[0.040s][info][class,load] java.util.stream.AbstractPipeline source: shared objects file
[0.040s][info][class,load] java.util.stream.Stream source: shared objects file
[0.040s][info][class,load] java.util.stream.ReferencePipeline source: shared objects file
[0.040s][info][class,load] java.util.stream.ReferencePipeline$Head source: shared objects file
[0.040s][info][class,load] java.util.stream.StreamOpFlag source: shared objects file
[0.040s][info][class,load] java.util.stream.StreamOpFlag$Type source: shared objects file
[0.040s][info][class,load] java.util.stream.StreamOpFlag$MaskBuilder source: shared objects file
[0.040s][info][class,load] java.util.EnumMap source: shared objects file
[0.040s][info][class,load] java.util.EnumMap$1 source: shared objects file
[0.040s][info][class,load] java.lang.PublicMethods$MethodList source: shared objects file
[0.040s][info][class,load] java.lang.PublicMethods$Key source: shared objects file
[0.040s][info][class,load] java.lang.Class$3 source: shared objects file
[0.040s][info][class,load] java.util.ImmutableCollections$MapN$1 source: shared objects file
[0.040s][info][class,load] java.util.ImmutableCollections$MapN$MapNIterator source: shared objects file
[0.040s][info][class,load] sun.reflect.annotation.AnnotationParser source: shared objects file
[0.040s][info][class,load] jdk.internal.reflect.NativeMethodAccessorImpl source: shared objects file
[0.040s][info][class,load] jdk.internal.reflect.DelegatingMethodAccessorImpl source: shared objects file
[0.041s][info][class,load] java.lang.invoke.LambdaMetafactory source: shared objects file
[0.041s][info][class,load] java.lang.invoke.MethodHandles$Lookup source: shared objects file
[0.041s][info][class,load] java.lang.invoke.MethodType$ConcurrentWeakInternSet source: shared objects file
[0.041s][info][class,load] java.lang.Void source: shared objects file
[0.041s][info][class,load] java.lang.invoke.MethodTypeForm source: shared objects file
[0.041s][info][class,load] java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry source: shared objects file
[0.041s][info][class,load] java.lang.invoke.MethodHandles source: shared objects file
[0.041s][info][class,load] java.lang.invoke.MemberName$Factory source: shared objects file
[0.041s][info][class,load] java.security.Guard source: shared objects file
[0.041s][info][class,load] java.security.Permission source: shared objects file
[0.041s][info][class,load] java.security.BasicPermission source: shared objects file
[0.041s][info][class,load] java.lang.reflect.ReflectPermission source: shared objects file
[0.041s][info][class,load] sun.invoke.util.VerifyAccess source: shared objects file
[0.041s][info][class,load] sun.invoke.util.Wrapper source: shared objects file
[0.041s][info][class,load] sun.invoke.util.Wrapper$Format source: shared objects file
[0.042s][info][class,load] java.lang.invoke.LambdaForm$NamedFunction source: shared objects file
[0.042s][info][class,load] java.lang.invoke.DirectMethodHandle$Holder source: shared objects file
[0.042s][info][class,load] sun.invoke.util.ValueConversions source: shared objects file
[0.042s][info][class,load] java.lang.invoke.MethodHandleImpl source: shared objects file
[0.042s][info][class,load] java.lang.invoke.Invokers source: shared objects file
[0.042s][info][class,load] java.lang.invoke.LambdaForm$Kind source: shared objects file
[0.042s][info][class,load] java.lang.NoSuchMethodException source: shared objects file
[0.043s][info][class,load] java.lang.invoke.LambdaForm$BasicType source: shared objects file
[0.043s][info][class,load] java.lang.invoke.LambdaForm$Name source: shared objects file
[0.043s][info][class,load] java.lang.invoke.LambdaForm$Holder source: shared objects file
[0.043s][info][class,load] java.lang.invoke.MethodHandleImpl$Intrinsic source: shared objects file
[0.043s][info][class,load] java.lang.invoke.InvokerBytecodeGenerator source: shared objects file
[0.043s][info][class,load] java.lang.invoke.InvokerBytecodeGenerator$2 source: shared objects file
[0.043s][info][class,load] java.lang.Module$ReflectionData source: jrt:/java.base
[0.043s][info][class,load] java.lang.WeakPairMap source: jrt:/java.base
[0.043s][info][class,load] java.lang.WeakPairMap$Pair source: jrt:/java.base
[0.043s][info][class,load] java.lang.WeakPairMap$Pair$Lookup source: jrt:/java.base
[0.044s][info][class,load] java.util.function.Predicate source: shared objects file
[0.044s][info][class,load] java.lang.invoke.BootstrapMethodInvoker source: shared objects file
[0.044s][info][class,load] java.lang.invoke.Invokers$Holder source: shared objects file
[0.044s][info][class,load] jdk.internal.access.JavaLangInvokeAccess source: shared objects file
[0.044s][info][class,load] java.lang.invoke.MethodHandleImpl$1 source: shared objects file
[0.044s][info][class,load] java.lang.invoke.AbstractValidatingLambdaMetafactory source: shared objects file
